interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220073600,0.17,6.46,2,0,0
0.0,1800.00,1220073500,0.17,6.75,0,0,2
0.0,1800.00,1220069700,0.27,7.92,0,0,4
0.0,1800.00,1220069900,0.06,9.33,0,1,1
0.0,1800.00,1220070200,0.31,7.39,0,2,4
0.0,1800.00,1220070300,0.24,7.22,0,0,3
0.0,1800.00,1220070500,1.46,7.45,0,0,19
0.0,1800.00,1220070600,0.15,7.38,2,0,0
0.0,1800.00,1220070700,0.41,6.81,4,0,1
0.0,1800.00,1220070901,0.61,7.23,8,0,0
0.0,1800.00,1220070902,1.03,7.00,5,0,8
0.0,1800.00,1220071001,0.06,8.80,0,0,1
0.0,1800.00,1220079401,0.96,7.71,0,5,13
0.0,1800.00,1220071002,0.07,8.78,0,0,1
0.0,1800.00,1220071500,0.32,7.11,0,4,4
0.0,1800.00,1220071700,0.24,4.86,0,0,2
0.0,1800.00,1220071900,0.16,7.22,0,0,2
0.0,1800.00,1220072000,0.27,7.53,1,0,3
0.0,1800.00,1220072100,0.32,8.70,5,0,0
0.0,1800.00,1220072300,0.75,7.43,6,0,4
0.0,1800.00,1220072400,0.54,7.41,0,0,7
0.0,1800.00,1220072602,8.66,2.11,34,0,0
0.0,1800.00,1220072700,0.26,6.35,3,0,0
0.0,1800.00,1220073300,0.31,7.26,4,0,0
0.0,1800.00,1220071300,0.17,6.82,0,2,2
0.0,1800.00,1220088400,0.79,7.31,11,0,0
0.0,1800.00,1220079402,0.74,7.56,2,0,8
0.0,1800.00,1220079700,0.52,7.47,7,0,0
0.0,1800.00,1220085200,0.32,7.15,0,0,4
0.0,1800.00,1220085400,0.35,6.79,0,0,4
0.0,1800.00,1220085602,0.40,7.31,0,1,5
0.0,1800.00,1220085603,0.79,7.27,2,7,8
0.0,1800.00,1220085605,0.07,8.64,0,0,1
0.0,1800.00,1220085606,0.39,7.28,4,0,1
0.0,1800.00,1220085701,0.16,7.34,0,0,2
0.0,1800.00,1220085705,0.16,7.38,0,0,2
0.0,1800.00,1220085706,0.16,7.23,0,2,2
0.0,1800.00,1220085800,1.80,7.69,0,0,24
0.0,1800.00,1220086000,0.93,7.25,0,0,12
0.0,1800.00,1220086400,0.32,7.21,0,4,4
0.0,1800.00,1220086602,0.32,7.28,0,0,4
0.0,1800.00,1220086701,0.32,6.93,4,0,0
0.0,1800.00,1220087001,0.22,7.84,0,0,3
0.0,1800.00,1220087102,0.06,8.94,0,0,1
0.0,1800.00,1220087500,0.40,7.01,5,0,0
